Appl No,Cont.Account,First Name,Last Name,Street,Street 3,Postl Code,Telephone,METER NUMBER,MOVE IN DATE,CCC NAME,CCC CODE
6000320768,600234443,"GM Bharatnet, BSNL,","WB, Kolkata",THE PRADHAN CHANCHAL GRAM PANCHAYET VILL CHANCHAL PO CHANCHA,THE GENERAL MANAGER BHARAT NET WEST BENG,732123,8101161572,IL0052436,04.09.2026,CHANCHAL CCC,6612104
6000320735,600234409,"GM Bharatnet, BSNL,","WB, Kolkata",THE PRADHAN DHANGARA BISHANPUR GRAM PANCHAYET VILL DHANGERA,THE GENERAL MANAGER BHARAT NET WEST BENG,732125,8101161572,,,MALATIPUR CCC,6612105
6000320761,600234436,"GM Bharatnet, BSNL,","WB, Kolkata",THE PRADHAN MALITIPUR GRAM PANCHAYET VILL QASIMPARA PO MALIT,THE GENERAL MANAGER BHARAT NET WEST BENG,732123,8101161572,,,MALATIPUR CCC,6612105
6000320732,600234406,"GM Bharatnet, BSNL,","WB, Kolkata",THE PRADHAN HARISHCHANDRAPUR GRAM PANCHAYET VILL HARISHCHAND,THE GENERAL MANAGER BHARAT NET WEST BENG,732125,9635709144,,,HARISHCHANDRAPUR CCC,6612106
6000320733,600234407,"GM Bharatnet, BSNL,","WB, Kolkata",THE PRADHAN SULTAN NAGAR GRAM PANCHAYET VILL BARDUARY PO BAR,THE GENERAL MANAGER BHARAT NET WEST BENG,732125,9635709144,,,HARISHCHANDRAPUR CCC,6612106
6000320756,600234431,"GM Bharatnet, BSNL,","WB, Kolkata",THE PRADHAN SADLICHOK GRAM PANCHAYET VILL SADLICHOK PO NEW S,THE GENERAL MANAGER BHARAT NET WEST BENG,732125,9635709144,,,HARISHCHANDRAPUR CCC,6612106
6000320758,600234433,"GM Bharatnet, BSNL,","WB, Kolkata",THE PRADHAN MAHENDRAPUR GRAM PANCHAYET VILL BHABANIPUR PO BA,THE GENERAL MANAGER BHARAT NET WEST BENG,732140,9635709144,,,HARISHCHANDRAPUR CCC,6612106
6000320766,600234441,"GM Bharatnet, BSNL,","WB, Kolkata",THE PRADHAN TULSIHATA GRAM PANCHAYET VILL TULSIHATA PO TULSI,THE GENERAL MANAGER BHARAT NET WEST BENG,732140,9635709144,,,HARISHCHANDRAPUR CCC,6612106
6000320720,600234395,"GM Bharatnet, BSNL,","WB, Kolkata",THE PRADHAN JAGDALA GRAM PANCHAYET VILL KASHIMPUR PO ASRAMPU,THE GENERAL MANAGER BHARAT NET WEST BENG,732138,9933616557,,,BAMONGOLA CCC,6613104
6000320726,600234400,"GM Bharatnet, BSNL,","WB, Kolkata",THE PRADHAN BAMONGOLA GRAM PANCHAYET VILL PAIKPARA PO JAMTAL,THE GENERAL MANAGER BHARAT NET WEST BENG,732138,9933616557,,,BAMONGOLA CCC,6613104
6000320741,600234415,"GM Bharatnet, BSNL,","WB, Kolkata",THE PRADHAN GOBINDAPUR MAHESPUR VILL GANGAPRASAD COLONY PO M,THE GENERAL MANAGER BHARAT NET WEST BENG,732138,9933616557,,,BAMONGOLA CCC,6613104
6000320746,600234420,"GM Bharatnet, BSNL,","WB, Kolkata",THE PRADHAN PAKUAHAT GRAM PANCHAYET VILL SALALPUR PO PAKUAHA,THE GENERAL MANAGER BHARAT NET WEST BENG,732138,9933616557,,,BAMONGOLA CCC,6613104
6000320750,600234424,"GM Bharatnet, BSNL,","WB, Kolkata",THE PRADHAN CHANDPUR GRAM PANCHAYET VILL DIHATTI PO JAGDALA,THE GENERAL MANAGER BHARAT NET WEST BENG,732138,9933616557,,,BAMONGOLA CCC,6613104
6000320717,600234392,"GM Bharatnet, BSNL,","WB, Kolkata",THE PRADHAN ITAHAR GRAM PANCHAYAT PO ITAHAR,THE GENERAL MANAGER BHARAT NET WEST BENG,733128,9475250957,,,ITAHAR CCC,6621101
6000320740,600234414,"GM Bharatnet, BSNL,","WB, Kolkata",THE PRADHAN KAPASIA GRAM PANCHAYAT PO KAPASIA,THE GENERAL MANAGER BHARAT NET WEST BENG,733128,9475250957,,,ITAHAR CCC,6621101
6000320765,600234440,"GM Bharatnet, BSNL,","WB, Kolkata",THE PRADHAN GULANDAR-II GRAM PANCHAYAT BHABANIPUR PO GULANDA,THE GENERAL MANAGER BHARAT NET WEST BENG,733128,9475250957,,,ITAHAR CCC,6621101
6000320722,600234397,"GM Bharatnet, BSNL,","WB, Kolkata",THE PRADHAN KARANDIGHI II GRAM PANCHAYAT PO KARANDIGHI,THE GENERAL MANAGER BHARAT NET WEST BENG,733215,7029088617,,,KARANDIGHI CCC,6621106
6000320745,600234419,"GM Bharatnet, BSNL,","WB, Kolkata",THE PRADHAN ALTAPUR II GRAM PANCHAYAT PO ALTAPUR,THE GENERAL MANAGER BHARAT NET WEST BENG,733215,7029088617,,,KARANDIGHI CCC,6621106
6000320753,600234427,"GM Bharatnet, BSNL,","WB, Kolkata",THE PRADHAN ALTAPUR I GRAM PANCHAYAT KISMAT ALTAPUR PO ALTAP,THE GENERAL MANAGER BHARAT NET WEST BENG,733215,7029088617,,,KARANDIGHI CCC,6621106
6000320757,600234432,"GM Bharatnet, BSNL,","WB, Kolkata",THE PRADHAN LAHUTARA I GRAM PANCHAYAT PO SABDHAN,THE GENERAL MANAGER BHARAT NET WEST BENG,733215,7029088617,IL0078090,11.08.2026,KARANDIGHI CCC,6621106
6000320716,600234391,"GM Bharatnet, BSNL,","WB, Kolkata",THE PRADHAN LODHAN GRAM PANCHAYAT PO GOALPOKHER,THE GENERAL MANAGER BHARAT NET WEST BENG,733210,9168771114,IL0078088,11.08.2026,GOALPOKHER CCC,6622104
6000320731,600234405,"GM Bharatnet, BSNL,","WB, Kolkata",THE PRADHAN JAINGAON GRAM PANCHAYAT MAROLTALI PO GOALPOKHOR,THE GENERAL MANAGER BHARAT NET WEST BENG,733210,9168771114,IL0078089,11.08.2026,GOALPOKHER CCC,6622104
6000320743,600234417,"GM Bharatnet, BSNL,","WB, Kolkata",THE PRADHAN SAHAPUR II GRAM PANCHAYAT GOALPOKHAR I BLOCK PO,THE GENERAL MANAGER BHARAT NET WEST BENG,733210,9168771114,IL0078081,11.08.2026,GOALPOKHER CCC,6622104
6000320723,600234398,"GM Bharatnet, BSNL,","WB, Kolkata",THE PRADHAN UDAYPUR GRAM PANCHAYAT PUTAHARI PO MAHIPAL,THE GENERAL MANAGER BHARAT NET WEST BENG,733132,9775465264,,,KUSMANDI CCC,6632102
6000320736,600234410,"GM Bharatnet, BSNL,","WB, Kolkata",THE PRADHAN KUSHMANDI GRAM PANCHAYAT PO KUSHMANDI,THE GENERAL MANAGER BHARAT NET WEST BENG,733132,9775465264,,,KUSMANDI CCC,6632102
6000320737,600234411,"GM Bharatnet, BSNL,","WB, Kolkata",THE PRADHAN KARANJI GRAM PANCHAYAT PO KARANJI,THE GENERAL MANAGER BHARAT NET WEST BENG,733132,9775465264,,,KUSMANDI CCC,6632102
6000320747,600234421,"GM Bharatnet, BSNL,","WB, Kolkata",THE PRADHAN AKCHA GRAM PANCHAYAT GHATSA PO KUSHMANDI,THE GENERAL MANAGER BHARAT NET WEST BENG,733132,9775465264,,,KUSMANDI CCC,6632102
6000320764,600234439,"GM Bharatnet, BSNL,","WB, Kolkata",THE PRADHAN KALIKAMORA GRAM PANCHAYAT PO AMINPUR,THE GENERAL MANAGER BHARAT NET WEST BENG,733132,9775465264,,,KUSMANDI CCC,6632102
